Team,City,Start Year,End Year
Boston,"Boston, MA",2010,2020
Houston,"Houston, TX",2010,2020
Milwaukee,"Milwaukee, WI",2010,2020
Atlanta,"Atlanta, GA",2010,2020
Charlotte,"Charlotte, NC",2010,2020
Brooklyn,"New York, NY",2012,2020
New Orleans,"New Orleans, LA",2010,2020
Miami,"Miami, FL",2010,2020
Portland,"Portland, OR",2010,2020
Minnesota,"Minneapolis, MN",2010,2020
Denver,"Denver, CO",2010,2020
Philadelphia,"Philadelphia, PA",2010,2020
LA Clippers,"Los Angeles, CA",2010,2020
New York,"New York, NY",2010,2020
Chicago,"Chicago, IL",2010,2020
Orlando,"Orlando, FL",2010,2020
Sacramento,"Sacramento, CA",2010,2020
Cleveland,"Cleveland, OH",2010,2020
Utah,"Salt Lake City, UT",2010,2020
Golden State,"San Francisco, CA",2010,2020
LA Lakers,"Los Angeles, CA",2010,2020
Detroit,"Detroit, MI",2010,2020
San Antonio,"San Antonio, TX",2010,2020
Dallas,"Dallas, TX",2010,2020
Phoenix,"Phoenix, AZ",2010,2020
Indiana,"Indianapolis, IN",2010,2020
Oklahoma City,"Oklahoma City, OK",2010,2020
Washington,"Washington, DC",2010,2020
Memphis,"Memphis, TN",2010,2020
Toronto,"Toronto, ON",2010,2020
New Jersey,"New York, NY",2010,2011
