Vikings,0,9,0,0,9,Saints,7,0,7,0,14,201001
Dolphins,3,7,0,5,15,Bills,0,3,0,7,10,201001
Lions,7,7,0,0,14,Bears,3,10,0,6,19,201001
Raiders,3,3,0,7,13,Titans,10,14,7,7,38,201001
Bengals,0,3,14,7,24,Patriots,10,14,7,7,38,201001
Panthers,3,13,0,2,18,Giants,7,7,10,7,31,201001
Falcons,0,3,3,3,0,9,Steelers,3,0,3,3,6,15,201001
Browns,7,7,0,0,14,Buccaneers,3,7,0,7,17,201001
Broncos,0,7,7,3,17,Jaguars,0,7,10,7,24,201001
Colts,0,10,0,14,24,Texans,6,7,7,14,34,201001
Cardinals,0,10,0,7,17,Rams,0,10,3,0,13,201001
Packers,0,13,14,0,27,Eagles,3,0,7,10,20,201001
49ers,3,3,0,0,6,Seahawks,0,14,14,3,31,201001
Cowboys,0,0,7,0,7,Redskins,3,7,0,3,13,201001
Ravens,0,7,3,0,10,Jets,3,3,0,3,9,201001
Chargers,7,0,7,0,14,Chiefs,7,14,0,0,21,201001
Cardinals,0,7,0,0,7,Falcons,7,17,10,7,41,201002
Ravens,0,0,7,3,10,Bengals,0,6,3,6,15,201002
Chiefs,3,7,3,3,16,Browns,0,14,0,0,14,201002
Bears,10,10,0,7,27,Cowboys,7,7,3,3,20,201002
Eagles,7,14,7,7,35,Lions,7,10,0,15,32,201002
Bills,0,7,0,0,7,Packers,13,0,14,7,34,201002
Steelers,7,6,0,6,19,Titans,3,0,0,8,11,201002
Dolphins,7,0,7,0,14,Vikings,0,0,7,3,10,201002
Buccaneers,7,7,3,3,20,Panthers,0,7,0,0,7,201002
Seahawks,0,0,7,7,14,Broncos,7,10,7,7,31,201002
Rams,0,7,0,7,14,Raiders,0,3,10,3,16,201002
Patriots,0,14,0,0,14,Jets,0,10,11,7,28,201002
Jaguars,3,3,0,7,13,Chargers,7,14,3,14,38,201002
Texans,0,7,10,10,3,30,Redskins,6,14,7,0,0,27,201002
Giants,0,0,7,7,14,Colts,7,17,7,7,38,201002
Saints,9,0,7,9,25,49ers,0,7,7,8,22,201002
49ers,0,3,0,7,10,Chiefs,0,10,14,7,31,201003
Lions,7,3,0,0,10,Vikings,7,7,10,0,24,201003
Bills,3,13,7,7,30,Patriots,7,10,14,7,38,201003
Falcons,7,7,3,7,3,27,Saints,14,0,7,3,0,24,201003
Titans,3,7,9,10,29,Giants,0,10,0,0,10,201003
Steelers,7,21,3,7,38,Buccaneers,3,3,0,7,13,201003
Bengals,7,3,0,10,20,Panthers,0,0,7,0,7,201003
Browns,3,7,0,7,17,Ravens,7,7,0,10,24,201003
Cowboys,0,10,7,10,27,Texans,0,3,0,10,13,201003
Redskins,0,13,3,0,16,Rams,14,0,7,9,30,201003
Eagles,7,7,14,0,28,Jaguars,0,3,0,0,3,201003
Colts,6,7,7,7,27,Broncos,0,3,10,0,13,201003
Raiders,13,7,0,3,23,Cardinals,10,7,7,0,24,201003
Chargers,0,0,12,8,20,Seahawks,0,10,7,10,27,201003
Jets,7,7,7,10,31,Dolphins,0,10,10,3,23,201003
Packers,7,3,0,7,17,Bears,0,7,0,13,20,201003
49ers,14,0,0,0,14,Falcons,0,10,3,3,16,201004
Jets,7,10,21,0,38,Bills,0,7,0,7,14,201004
Bengals,0,10,3,7,20,Browns,3,10,10,0,23,201004
Lions,0,14,6,6,26,Packers,7,14,7,0,28,201004
Broncos,0,10,6,10,26,Titans,0,10,10,0,20,201004
Seahawks,0,3,0,0,3,Rams,7,3,7,3,20,201004
Panthers,0,7,7,0,14,Saints,0,10,3,3,16,201004
Ravens,0,10,0,7,17,Steelers,7,0,0,7,14,201004
Texans,14,0,10,7,31,Raiders,7,7,0,10,24,201004
Colts,7,7,0,14,28,Jaguars,7,7,7,10,31,201004
Redskins,14,3,0,0,17,Eagles,0,6,0,6,12,201004
Cardinals,0,7,0,3,10,Chargers,7,21,10,3,41,201004
Bears,0,0,0,3,3,Giants,3,0,7,7,17,201004
Patriots,0,6,21,14,41,Dolphins,7,0,7,0,14,201004
Jaguars,3,10,14,9,36,Bills,10,3,7,6,26,201005
Buccaneers,0,7,7,10,24,Bengals,7,3,3,8,21,201005
Falcons,0,6,7,7,20,Browns,0,7,3,0,10,201005
Rams,3,3,0,0,6,Lions,3,21,7,13,44,201005
Chiefs,0,3,6,0,9,Colts,3,3,3,10,19,201005
Packers,7,3,3,0,0,13,Redskins,0,3,0,10,3,16,201005
Bears,17,0,0,6,23,Panthers,3,0,3,0,6,201005
Broncos,0,7,0,10,17,Ravens,7,10,0,14,31,201005
Giants,14,10,3,7,34,Texans,0,3,7,0,10,201005
Saints,10,3,0,7,20,Cardinals,0,10,3,17,30,201005
Titans,10,7,3,14,34,Cowboys,3,7,7,10,27,201005
Chargers,0,17,7,3,27,Raiders,12,3,7,13,35,201005
Eagles,7,10,0,10,27,49ers,7,3,0,14,24,201005
Vikings,0,0,7,13,20,Jets,3,6,6,14,29,201005
Seahawks,7,7,2,7,23,Bears,7,6,0,7,20,201006
Dolphins,7,3,3,7,3,23,Packers,10,0,0,10,0,20,201006
Chargers,0,3,7,7,17,Rams,10,7,0,3,20,201006
Ravens,3,7,7,3,0,20,Patriots,7,0,3,10,3,23,201006
Lions,7,3,0,10,20,Giants,7,7,7,7,28,201006
Falcons,0,7,3,7,17,Eagles,14,7,7,3,31,201006
Browns,3,0,0,7,10,Steelers,0,7,7,14,28,201006
Saints,7,10,7,7,31,Buccaneers,0,0,0,6,6,201006
Chiefs,7,7,10,7,31,Texans,0,7,7,21,35,201006
Jets,0,7,3,14,24,Broncos,0,10,7,3,20,201006
Raiders,3,3,0,3,9,49ers,0,3,7,7,17,201006
Cowboys,7,7,0,7,21,Vikings,7,0,14,3,24,201006
Colts,7,10,7,3,27,Redskins,7,0,10,7,24,201006
Titans,7,10,3,10,30,Jaguars,0,0,3,0,3,201006
Bengals,3,0,22,7,32,Falcons,7,17,0,15,39,201007
Redskins,7,3,7,0,17,Bears,7,7,0,0,14,201007
Eagles,0,13,3,3,19,Titans,0,7,3,27,37,201007
Jaguars,3,10,7,0,20,Chiefs,7,7,14,14,42,201007
Steelers,0,17,3,3,23,Dolphins,6,10,3,3,22,201007
Browns,10,10,0,10,30,Saints,0,3,0,14,17,201007
Rams,0,17,0,0,17,Buccaneers,3,3,6,6,18,201007
49ers,7,3,0,10,20,Panthers,3,7,3,10,23,201007
Bills,10,14,0,10,0,34,Ravens,3,17,14,0,3,37,201007
Cardinals,0,0,7,3,10,Seahawks,3,7,9,3,22,201007
