Away,AQ1,AQ2,AQ3,AQ4,AOT1,AOT2,Away_Final,Home,HQ1,HQ2,HQ3,HQ4,HOT1,HOT2,Home_Final,Date,Q1M,Q2M,Q3M,FinalMargin,FinalTotal,HomeMargin,AwayELO,HomeELO,Season,Week,Playoffs,AwayBye,HomeBye,Intraconference,Intradivision,TravelDist
Vikings,0,9,0,0,0,0,9,Saints,7,0,7,0,0,0,14,201001,7,-2,5,5,23,5,1584.199,1635.077,2010,1,0,0,0,1,0,1052
Chargers,7,0,7,0,0,0,14,Chiefs,7,14,0,0,0,0,21,201001,0,14,7,7,35,7,1614.113,1400.114,2010,1,0,0,0,1,1,1334
Ravens,0,7,3,0,0,0,10,Jets,3,3,0,3,0,0,9,201001,-3,1,4,1,19,-1,1580.034,1586.636,2010,1,0,0,0,1,0,169
Cowboys,0,0,7,0,0,0,7,Washington,3,7,0,3,0,0,13,201001,3,10,3,6,20,6,1592.462,1430.5,2010,1,0,0,0,1,1,1181
49ers,3,3,0,0,0,0,6,Seahawks,0,14,14,3,0,0,31,201001,-3,8,22,25,37,25,1498.466,1401.591,2010,1,0,0,0,1,1,679
Cardinals,0,10,0,7,0,0,17,Rams,0,10,3,0,0,0,13,201001,0,0,-3,4,30,-4,1533.868,1316.472,2010,1,0,0,0,1,1,1270
Colts,0,10,0,14,0,0,24,Texans,6,7,7,14,0,0,34,201001,6,3,10,10,58,10,1608.682,1546.211,2010,1,0,0,0,1,1,865
Broncos,0,7,7,3,0,0,17,Jaguars,0,7,10,7,0,0,24,201001,0,0,3,7,41,7,1467.711,1441.55,2010,1,0,0,0,1,0,1465
Packers,0,13,14,0,0,0,27,Eagles,3,0,7,10,0,0,20,201001,-3,10,17,7,47,-7,1571.948,1577.744,2010,1,0,0,0,1,0,728
Falcons,0,3,3,3,0,0,9,Steelers,3,0,3,3,6,0,15,201001,3,0,0,6,24,6,1538.437,1562.39,2010,1,0,0,0,0,0,521
Panthers,3,13,0,2,0,0,18,Giants,7,7,10,7,0,0,31,201001,4,-2,8,13,49,13,1565.042,1499.755,2010,1,0,0,0,1,0,531
Bengals,0,3,14,7,0,0,24,Patriots,10,14,7,7,0,0,38,201001,10,21,14,14,62,14,1499.37,1566.741,2010,1,0,0,0,1,0,732
Raiders,3,3,0,7,0,0,13,Titans,10,14,7,7,0,0,38,201001,7,18,25,25,51,25,1383.262,1535.313,2010,1,0,0,0,1,0,1950
Lions,7,7,0,0,0,0,14,Bears,3,10,0,6,0,0,19,201001,-4,-1,-1,5,33,5,1310.527,1476.273,2010,1,0,0,0,1,1,238
Dolphins,3,7,0,5,0,0,15,Bills,0,3,0,7,0,0,10,201001,3,7,7,5,25,-5,1482.581,1476.435,2010,1,0,0,0,1,1,1184
Browns,7,7,0,0,0,0,14,Buccaneers,3,7,0,7,0,0,17,201001,-4,-4,-4,3,31,3,1436.429,1428.762,2010,1,0,0,0,0,0,937
Seahawks,0,0,7,7,0,0,14,Broncos,7,10,7,7,0,0,31,201002,7,17,17,17,45,17,1437.675,1449.552,2010,2,0,0,0,0,0,1019
Saints,9,0,7,9,0,0,25,49ers,0,7,7,8,0,0,22,201002,9,2,2,3,47,-3,1646.623,1462.382,2010,2,0,0,0,1,0,1921
Giants,0,0,7,7,0,0,14,Colts,7,17,7,7,0,0,38,201002,7,24,24,24,52,24,1526.171,1584.905,2010,2,0,0,0,0,0,643
Texans,0,7,10,10,3,0,30,Washington,6,14,7,0,0,0,27,201002,-6,-13,-10,3,57,-3,1569.988,1456.394,2010,2,0,0,0,0,0,1217
Jaguars,3,3,0,7,0,0,13,Chargers,7,14,3,14,0,0,38,201002,4,15,18,25,51,25,1459.709,1582.788,2010,2,0,0,0,1,0,2087
Rams,0,7,0,7,0,0,14,Raiders,0,3,10,3,0,0,16,201002,0,-4,6,2,30,2,1307.629,1370.048,2010,2,0,0,0,0,0,1733
Buccaneers,7,7,3,3,0,0,20,Panthers,0,7,0,0,0,0,7,201002,7,7,10,13,27,-13,1440.063,1538.626,2010,2,0,0,0,1,1,511
Patriots,0,14,0,0,0,0,14,Jets,0,10,11,7,0,0,28,201002,0,-4,7,14,42,14,1582.998,1578.015,2010,2,0,0,0,1,1,181
Steelers,7,6,0,6,0,0,19,Titans,3,0,0,8,0,0,11,201002,4,10,10,8,30,-8,1576.407,1548.527,2010,2,0,0,0,1,0,471
Bills,0,7,0,0,0,0,7,Packers,13,0,14,7,0,0,34,201002,13,6,20,27,41,27,1454.936,1597.752,2010,2,0,0,0,0,0,470
Eagles,7,14,7,7,0,0,35,Lions,7,10,0,15,0,0,32,201002,0,4,11,3,67,-3,1551.939,1303.734,2010,2,0,0,0,1,0,441
Bears,10,10,0,7,0,0,27,Cowboys,7,7,3,3,0,0,20,201002,3,6,3,7,47,-7,1483.066,1566.568,2010,2,0,0,0,1,0,802
Chiefs,3,7,3,3,0,0,16,Browns,0,14,0,0,0,0,14,201002,3,-4,-1,2,30,-2,1431.439,1425.127,2010,2,0,0,0,1,0,698
Ravens,0,0,7,3,0,0,10,Bengals,0,6,3,6,0,0,15,201002,0,6,2,5,25,5,1588.655,1483.113,2010,2,0,0,0,1,1,419
Cardinals,0,7,0,0,0,0,7,Falcons,7,17,10,7,0,0,41,201002,7,17,27,34,48,34,1542.711,1524.421,2010,2,0,0,0,1,0,1588
Dolphins,7,0,7,0,0,0,14,Vikings,0,0,7,3,0,0,10,201002,7,7,7,4,24,-4,1504.08,1572.653,2010,2,0,0,0,0,0,1513
Packers,7,3,0,7,0,0,17,Bears,0,7,0,13,0,0,20,201003,-7,-3,-3,3,37,3,1611.887,1514.356,2010,3,0,0,0,1,1,185
Jets,7,7,7,10,0,0,31,Dolphins,0,10,10,3,0,0,23,201003,7,4,1,8,54,-8,1599.867,1527.496,2010,3,0,0,0,1,1,1091
Chargers,0,0,12,8,0,0,20,Seahawks,0,10,7,10,0,0,27,201003,0,10,5,7,47,7,1597.976,1415.828,2010,3,0,0,0,0,0,1063
Raiders,13,7,0,3,0,0,23,Cardinals,10,7,7,0,0,0,24,201003,-3,-3,4,1,47,1,1376.786,1512.549,2010,3,0,0,0,0,0,646
Colts,6,7,7,7,0,0,27,Broncos,0,3,10,0,0,0,13,201003,6,10,7,14,40,-14,1604.963,1471.4,2010,3,0,0,0,1,0,998
Eagles,7,7,14,0,0,0,28,Jaguars,0,3,0,0,0,0,3,201003,7,11,25,25,31,-25,1558.551,1444.521,2010,3,0,0,0,0,0,758
Washington,0,13,3,0,0,0,16,Rams,14,0,7,9,0,0,30,201003,14,1,5,14,46,14,1444.715,1300.891,2010,3,0,0,0,1,0,708
Cowboys,0,10,7,10,0,0,27,Texans,0,3,0,10,0,0,13,201003,0,7,14,14,40,-14,1535.278,1581.667,2010,3,0,0,0,0,0,225
Browns,3,7,0,7,0,0,17,Ravens,7,7,0,10,0,0,24,201003,4,4,4,7,41,7,1411.951,1568.281,2010,3,0,0,0,1,1,307
Steelers,7,21,3,7,0,0,38,Buccaneers,3,3,0,7,0,0,13,201003,4,22,25,25,51,-25,1601.135,1481.084,2010,3,0,0,0,0,0,874
