Canadiens,1,0,2,3,Maple Leafs,0,1,0,1,20151007,,
Rangers,3,0,0,3,Blackhawks,1,1,0,2,20151007,,
Canucks,2,1,2,5,Flames,0,1,0,1,20151007,,
Sharks,2,2,1,5,Kings,1,0,0,1,20151007,,
Rangers,1,0,3,4,Blue Jackets,0,1,1,2,20151009,,
Jets,0,3,0,3,Devils,0,1,0,1,20151009,,
Maple Leafs,0,0,0,0,Red Wings,2,2,0,4,20151009,,
Blackhawks,1,1,0,1,3,Islanders,0,1,1,0,2,20151009
Coyotes,2,2,0,4,Kings,0,1,0,1,20151009,,
Lightning,0,2,2,4,Sabres,0,1,0,1,20151010,,
Red Wings,0,1,3,4,Hurricanes,0,2,1,3,20151010,,
Flyers,0,1,0,1,Panthers,4,1,2,7,20151010,,
Blue Jackets,0,0,2,2,Rangers,3,1,1,5,20151010,,
Devils,2,0,1,3,Capitals,2,0,3,5,20151010,,
Canadiens,1,2,1,4,Bruins,0,1,1,2,20151010,,
Senators,0,3,1,1,5,Maple Leafs,0,2,2,0,4,20151010
Oilers,0,0,0,0,Predators,0,1,1,2,20151010,,
Blues,0,1,1,2,Wild,1,2,0,3,20151010,,
Islanders,0,0,1,1,Blackhawks,1,2,1,4,20151010,,
Stars,2,1,0,3,Avalanche,1,2,3,6,20151010,,
Penguins,0,1,0,1,Coyotes,0,2,0,2,20151010,,
Flames,1,0,1,1,3,Canucks,0,2,0,0,2,20151010
Ducks,0,0,0,0,Sharks,0,1,1,2,20151010,,
Canadiens,2,0,1,3,Senators,0,1,0,1,20151011,,
Lightning,2,2,2,6,Bruins,2,1,0,3,20151012,,
Jets,0,1,1,2,Islanders,1,2,1,4,20151012,,
Blue Jackets,0,0,2,2,Sabres,0,1,3,4,20151012,,
Panthers,0,0,0,0,Flyers,1,0,0,1,20151012,,
Canucks,0,1,0,1,2,Ducks,0,1,0,0,1,20151012
Canadiens,1,1,1,3,Penguins,0,2,0,2,20151013,,
Predators,1,0,2,3,Devils,0,0,1,1,20151013,,
Jets,1,1,2,4,Rangers,1,0,0,1,20151013,,
Sharks,1,2,2,5,Capitals,0,0,0,0,20151013,,
Panthers,1,0,3,4,Hurricanes,0,1,0,1,20151013,,
Lightning,0,0,1,1,Red Wings,0,1,2,3,20151013,,
Oilers,0,2,0,2,Stars,1,1,2,4,20151013,,
Blues,1,3,0,4,Flames,2,0,1,3,20151013,,
Canucks,0,2,1,3,Kings,0,0,0,0,20151013,,
Senators,1,3,3,7,Blue Jackets,2,1,0,3,20151014,,
Blackhawks,0,0,0,0,Flyers,0,2,1,3,20151014,,
Bruins,2,3,1,6,Avalanche,0,1,1,2,20151014,,
Coyotes,3,1,0,4,Ducks,0,0,0,0,20151014,,
Predators,1,1,1,3,Islanders,0,2,2,4,20151015,,
Senators,0,0,0,0,Penguins,0,2,0,2,20151015,,
Blackhawks,0,0,1,1,Capitals,1,1,2,4,20151015,,
Rangers,0,0,0,0,Canadiens,0,1,2,3,20151015,,
Stars,2,2,1,5,Lightning,1,0,2,3,20151015,,
Sabres,0,1,1,2,Panthers,2,0,1,3,20151015,,
Blues,1,1,2,4,Oilers,1,0,1,2,20151015,,
Wild,2,2,0,4,Coyotes,0,2,1,3,20151015,,
Sharks,1,0,0,1,2,Devils,0,0,1,0,1,20151016
Maple Leafs,0,3,3,6,Blue Jackets,1,1,1,3,20151016,,
Hurricanes,1,2,2,5,Red Wings,0,2,1,3,20151016,,
Flames,1,0,0,1,Jets,0,1,2,3,20151016,,
Blues,1,2,1,4,Canucks,0,1,2,3,20151016,,
Avalanche,1,1,1,3,Ducks,0,0,0,0,20151016,,
Wild,0,0,1,0,1,Kings,0,1,0,1,2,20151016
Red Wings,0,1,0,1,Canadiens,0,1,3,4,20151017,,
Predators,1,1,1,1,4,Senators,0,2,1,0,3,20151017
Sabres,1,0,0,1,Lightning,0,1,1,2,20151017,,
Stars,0,1,3,4,Panthers,0,2,0,2,20151017,,
Maple Leafs,1,0,0,1,Penguins,2,0,0,2,20151017,,
Hurricanes,0,0,1,1,Capitals,1,0,3,4,20151017,,
Sharks,1,2,0,3,Islanders,0,3,3,6,20151017,,
Blue Jackets,0,0,1,1,Blackhawks,0,2,2,4,20151017,,
Oilers,1,1,3,5,Flames,0,1,1,2,20151017,,
Bruins,0,2,3,5,Coyotes,1,0,2,3,20151017,,
Devils,0,1,0,1,2,Rangers,1,0,0,0,1,20151018
Blues,0,2,2,4,Jets,0,2,0,2,20151018,,
Wild,1,0,0,1,Ducks,2,0,2,4,20151018,,
Oilers,1,0,0,1,2,Canucks,1,0,0,0,1,20151018
Avalanche,0,1,0,1,Kings,1,1,0,2,20151018,,
Sharks,0,0,0,0,Rangers,1,1,2,4,20151019,,
Coyotes,0,0,2,0,2,Devils,0,1,1,1,3,20151020
Panthers,0,0,2,0,2,Penguins,1,0,1,1,3,20151020
Islanders,1,0,3,4,Blue Jackets,0,0,0,0,20151020,,
Stars,1,1,0,2,Flyers,0,0,1,1,20151020,,
Blues,0,0,0,0,Canadiens,1,1,1,3,20151020,,
Lightning,0,3,1,0,4,Predators,1,2,1,1,5,20151020
Capitals,1,3,2,6,Flames,1,0,1,2,20151020,,
Maple Leafs,1,0,0,0,1,Sabres,0,0,1,1,2,20151021
Flyers,2,0,2,1,5,Bruins,2,2,0,0,4,20151021
Red Wings,0,0,1,1,Oilers,1,2,0,3,20151021,,
Hurricanes,0,0,0,1,1,Avalanche,0,0,0,0,0,20151021
Coyotes,1,0,0,1,Rangers,0,1,3,4,20151022,,
Stars,2,2,0,4,Penguins,0,1,0,1,20151022,,
Devils,2,0,2,1,5,Senators,1,1,2,0,4,20151022
Ducks,0,0,1,1,Predators,0,3,2,5,20151022,,
Blue Jackets,2,0,0,2,Wild,1,2,0,3,20151022,,
Panthers,1,0,1,2,Blackhawks,1,1,1,3,20151022,,
Capitals,1,0,2,3,Canucks,0,2,0,2,20151022,,
Kings,2,1,1,4,Sharks,0,1,0,1,20151022,,
Canadiens,1,3,3,7,Sabres,0,2,0,2,20151023,,
Bruins,1,2,2,5,Islanders,2,0,1,3,20151023,,
Lightning,1,2,0,1,4,Jets,1,1,1,0,3,20151023
Red Wings,2,0,0,0,2,Flames,1,0,1,1,3,20151023
Capitals,3,3,1,7,Oilers,2,2,0,4,20151023,,
Hurricanes,0,0,0,0,Kings,1,0,2,3,20151023,,
Ducks,0,0,0,0,Wild,1,2,0,3,20151024,,
Devils,1,2,1,4,Sabres,1,1,1,3,20151024,,
Maple Leafs,0,2,1,3,Canadiens,1,4,0,5,20151024,,
Coyotes,1,0,3,4,Senators,0,1,0,1,20151024,,
Rangers,1,1,0,0,2,Flyers,1,1,0,1,3,20151024
Islanders,1,1,0,1,3,Blues,0,0,2,0,2,20151024
Penguins,0,1,0,1,2,Predators,0,0,1,0,1,20151024
Panthers,2,2,2,6,Stars,1,0,1,2,20151024,,
Lightning,0,0,0,0,0,Blackhawks,0,0,0,1,1,20151024
Blue Jackets,2,0,2,4,Avalanche,1,2,0,3,20151024,,
Red Wings,0,0,2,1,3,Canucks,1,1,0,0,2,20151024
Hurricanes,0,2,0,2,Sharks,2,2,1,5,20151024,,
Wild,1,2,1,4,Jets,3,2,0,5,20151025,,
Flames,1,0,0,1,Rangers,0,2,2,4,20151025,,
Kings,1,1,1,3,Oilers,1,0,1,2,20151025,,
Flames,0,0,0,0,Islanders,0,1,3,4,20151026,,
Coyotes,2,1,1,4,Maple Leafs,1,0,2,3,20151026,,
Ducks,0,0,0,0,0,Blackhawks,0,0,0,1,1,20151026
Coyotes,0,0,0,0,Bruins,1,2,3,6,20151027,,
Blue Jackets,0,0,3,3,Devils,0,0,1,1,20151027,,
Sabres,2,0,1,1,4,Flyers,1,0,2,0,3,20151027
Hurricanes,0,1,2,3,Red Wings,0,1,0,1,20151027,,
Avalanche,0,0,1,1,Panthers,1,0,3,4,20151027,,
Lightning,0,0,0,0,Blues,1,0,1,2,20151027,,
Oilers,1,1,1,3,Wild,2,0,2,4,20151027,,
Kings,0,1,3,4,Jets,0,1,0,1,20151027,,
Ducks,3,0,0,3,Stars,0,3,1,4,20151027,,
Canadiens,0,0,1,1,Canucks,3,0,2,5,20151027,,
Flames,0,1,3,0,4,Senators,0,2,2,1,5,20151028
Penguins,0,0,3,3,Capitals,0,0,1,1,20151028,,
Predators,1,0,1,2,Sharks,0,0,1,1,20151028,,
Hurricanes,1,0,1,1,3,Islanders,1,1,0,0,2,20151029
Devils,0,1,3,4,Flyers,0,1,0,1,20151029,,
Sabres,2,0,1,3,Penguins,2,2,0,4,20151029,,
Avalanche,1,1,0,2,Lightning,0,1,0,1,20151029,,
Ducks,0,1,0,1,Blues,0,1,1,2,20151029,,
Blackhawks,1,0,0,1,Jets,1,1,1,3,20151029,,
Canucks,1,1,1,0,3,Stars,1,0,2,1,4,20151029
Canadiens,3,0,0,3,Oilers,0,1,3,4,20151029,,
Flyers,0,0,1,1,Sabres,1,1,1,3,20151030,,
Maple Leafs,0,0,1,1,Rangers,1,0,2,3,20151030,,
Blue Jackets,0,0,1,1,Capitals,0,1,1,2,20151030,,
Avalanche,0,1,1,2,Hurricanes,0,2,1,3,20151030,,
Senators,1,1,1,3,Red Wings,0,1,0,1,20151030,,
Bruins,1,2,0,3,Panthers,0,1,0,1,20151030,,
Blackhawks,2,2,0,4,Wild,3,1,1,5,20151030,,
Canadiens,1,3,2,6,Flames,0,2,0,2,20151030,,
Canucks,3,1,0,4,Coyotes,0,2,1,3,20151030,,
Islanders,0,2,0,0,2,Devils,2,0,0,1,3,20151031
Sharks,0,3,0,3,Stars,1,2,2,5,20151031,,
Predators,0,2,1,0,3,Kings,0,1,2,1,4,20151031
Penguins,1,2,1,4,Maple Leafs,0,0,0,0,20151031,,
Red Wings,1,2,2,5,Senators,0,1,2,3,20151031,,
Bruins,1,0,2,3,Lightning,1,0,0,1,20151031,,
Capitals,0,0,1,1,2,Panthers,0,1,0,0,1,20151031
Jets,3,0,0,3,Blue Jackets,1,0,1,2,20151031,,
Wild,2,0,0,0,2,Blues,2,0,0,1,3,20151031
Flames,3,1,1,5,Oilers,1,1,2,4,20151031,,
Sharks,1,1,2,4,Avalanche,1,1,1,3,20151101,,
Lightning,0,2,2,4,Hurricanes,1,0,2,3,20151101,,
Jets,0,0,1,1,Canadiens,2,3,0,5,20151101,,
Sabres,0,0,2,2,Islanders,0,1,0,1,20151101,,
Predators,0,2,0,2,Ducks,3,1,0,4,20151101,,
Stars,1,0,0,1,Maple Leafs,1,2,1,4,20151102,,
Kings,2,0,0,2,Blackhawks,1,0,3,4,20151102,,
Flyers,0,1,0,1,Canucks,1,1,2,4,20151102,,
Stars,1,2,2,5,Bruins,2,0,1,3,20151103,,
Devils,0,0,1,1,Islanders,1,0,1,2,20151103,,
Capitals,1,1,0,2,Rangers,2,2,1,5,20151103,,
Senators,0,1,0,1,2,Canadiens,0,1,0,0,1,20151103
Lightning,0,1,0,1,Red Wings,0,1,1,2,20151103,,
Kings,0,1,2,3,Blues,0,0,0,0,20151103,,
Flames,0,2,1,3,Avalanche,1,2,3,6,20151103,,
Flyers,0,2,0,2,Oilers,1,0,3,4,20151103,,
Blue Jackets,1,3,1,5,Sharks,1,1,0,2,20151103,,
Jets,2,0,2,4,Maple Leafs,1,1,0,2,20151104,,
Blues,2,3,0,1,6,Blackhawks,5,0,0,0,5,20151104
Penguins,1,0,2,3,Canucks,0,0,2,2,20151104,,
Panthers,0,2,0,0,2,Ducks,0,1,1,1,3,20151104
Lightning,3,0,1,4,Sabres,0,1,0,1,20151105,,
Bruins,1,0,0,1,Capitals,1,2,1,4,20151105,,
Islanders,0,1,0,1,Canadiens,1,0,3,4,20151105,,
Jets,0,1,1,0,2,Senators,1,1,0,1,3,20151105
Predators,0,1,2,3,Wild,0,1,1,2,20151105,,
Flyers,0,1,0,0,1,Flames,1,0,0,1,2,20151105
Avalanche,0,1,1,2,Coyotes,1,2,1,4,20151105,,
Blue Jackets,2,0,1,3,Kings,1,0,1,2,20151105,,
Panthers,1,1,0,2,Sharks,2,2,1,5,20151105,,
Red Wings,1,0,0,1,2,Maple Leafs,0,0,1,0,1,20151106
Blackhawks,0,1,1,2,Devils,3,1,0,4,20151106,,
Stars,0,1,3,4,Hurricanes,0,1,0,1,20151106,,
Rangers,0,2,0,2,Avalanche,1,0,0,1,20151106,,
Penguins,0,1,1,2,Oilers,0,1,0,1,20151106,,
Blue Jackets,0,1,1,2,Ducks,1,1,2,4,20151106,,
Canucks,0,1,1,2,Sabres,0,2,1,3,20151107,,
Panthers,1,0,0,1,Kings,0,3,1,4,20151107,,
Bruins,1,1,0,2,Canadiens,0,1,3,4,20151107,,
Maple Leafs,1,0,1,0,2,Capitals,0,1,1,1,3,20151107
Senators,0,2,0,0,2,Hurricanes,0,1,1,1,3,20151107
Flyers,1,0,2,3,Jets,0,0,0,0,20151107,,
Blues,1,0,3,4,Predators,0,0,0,0,20151107,,
Lightning,0,0,0,0,Wild,0,1,0,1,20151107,,
Rangers,1,3,0,4,Coyotes,0,0,1,1,20151107,,
Penguins,1,1,0,2,Flames,3,1,1,5,20151107,,
Ducks,1,0,0,1,Sharks,0,0,0,0,20151107,,
Stars,2,0,2,4,Red Wings,1,0,0,1,20151108,,
Canucks,1,2,0,0,3,Devils,2,1,0,1,4,20151108
Bruins,1,1,0,2,Islanders,0,0,1,1,20151108,,
Oilers,0,0,2,2,Blackhawks,2,0,2,4,20151108,,
Coyotes,0,3,0,1,4,Ducks,2,0,1,0,3,20151109
Blues,0,1,1,2,Devils,0,0,0,0,20151110,,
Hurricanes,0,0,0,0,Rangers,2,0,1,3,20151110,,
Avalanche,1,2,1,4,Flyers,0,0,0,0,20151110,,
Canucks,2,0,3,5,Blue Jackets,2,0,1,3,20151110,,
Capitals,0,0,0,0,Red Wings,0,0,1,1,20151110,,
Sabres,1,1,2,4,Lightning,0,1,0,1,20151110,,
Flames,1,2,0,3,Panthers,2,1,1,4,20151110,,
Senators,3,2,0,5,Predators,1,3,3,7,20151110,,
Jets,1,0,2,3,Wild,1,4,0,5,20151110,,
Maple Leafs,1,0,2,3,Stars,0,1,1,2,20151110,,
Coyotes,1,1,1,3,Kings,1,1,0,2,20151110,,
Islanders,2,0,2,4,Sharks,0,1,1,2,20151110,,
Canadiens,1,2,0,0,3,Penguins,2,0,1,1,4,20151111
Oilers,0,1,2,1,4,Ducks,1,0,2,0,3,20151111
Avalanche,2,0,1,3,Bruins,2,0,0,2,20151112,,
Blues,1,2,0,3,Rangers,3,1,2,6,20151112,,
Capitals,1,3,1,5,Flyers,1,1,0,2,20151112,,
Wild,1,1,0,1,3,Hurricanes,2,0,0,0,2,20151112
Canucks,1,0,1,2,Senators,1,1,1,3,20151112,,
Flames,0,1,0,1,Lightning,0,1,2,3,20151112,,
Sabres,1,1,1,3,Panthers,0,1,1,2,20151112,,
Maple Leafs,0,0,1,1,2,Predators,0,0,1,0,1,20151112
Devils,0,2,1,3,Blackhawks,1,0,1,2,20151112,,
Jets,2,0,1,3,Stars,2,1,3,6,20151112,,
Oilers,1,0,0,1,Coyotes,1,2,1,4,20151112,,
Islanders,1,0,0,1,Kings,1,1,0,2,20151112,,
Blue Jackets,0,2,0,2,Penguins,0,0,1,1,20151113,,
Flames,0,1,1,1,3,Capitals,0,0,2,0,2,20151113
Sharks,2,1,0,3,Red Wings,1,0,1,2,20151113,,
Islanders,1,1,2,4,Ducks,0,1,0,1,20151113,,
Rangers,1,0,0,1,2,Senators,1,0,0,0,1,20151114
Red Wings,0,0,1,1,Bruins,0,3,0,3,20151114,,
Sharks,1,0,0,1,2,Sabres,0,0,1,0,1,20151114
Canucks,0,1,1,2,Maple Leafs,1,1,2,4,20151114,,
Avalanche,3,1,2,6,Canadiens,0,1,0,1,20151114,,
Panthers,1,2,1,1,5,Lightning,1,2,1,0,4,20151114
Penguins,0,0,0,0,Devils,1,1,2,4,20151114,,
Flyers,0,1,1,1,3,Hurricanes,1,1,0,0,2,20151114
Coyotes,1,1,0,2,Blue Jackets,2,1,2,5,20151114,,
Jets,0,0,0,0,Predators,4,1,2,7,20151114,,
Blackhawks,1,2,1,4,Blues,0,2,0,2,20151114,,
Wild,0,1,1,0,2,Stars,1,0,1,1,3,20151114
Oilers,0,2,1,3,Kings,2,1,1,4,20151114,,
Maple Leafs,1,1,1,3,Rangers,0,2,2,4,20151115,,
Flames,0,1,0,1,Blackhawks,0,3,1,4,20151115,,
Coyotes,0,0,2,2,Islanders,1,0,4,5,20151116,,
Ducks,1,1,2,4,Hurricanes,0,1,0,1,20151116,,
Canucks,2,1,0,0,3,Canadiens,0,2,1,1,4,20151116
Red Wings,2,1,0,1,4,Senators,1,0,2,0,3,20151116
Lightning,0,0,0,0,Panthers,0,0,1,1,20151116,,
Jets,0,2,0,2,Blues,2,1,0,3,20151116,,
Sharks,2,3,0,5,Bruins,2,1,1,4,20151117,,
Stars,1,0,2,3,Sabres,0,0,1,1,20151117,,
Kings,1,0,1,1,3,Flyers,1,0,1,0,2,20151117
Blues,1,0,0,1,Blue Jackets,1,1,1,3,20151117,,
Wild,1,1,1,3,Penguins,2,2,0,4,20151117,,
Avalanche,0,1,0,1,Maple Leafs,2,1,2,5,20151117,,
Ducks,1,0,1,2,Predators,2,1,0,3,20151117,,
Devils,0,2,0,2,Flames,2,1,0,3,20151117,,
Canucks,0,1,0,1,Jets,1,1,2,4,20151118,,
Capitals,1,0,0,1,2,Red Wings,1,0,0,0,1,20151118
Blackhawks,0,2,1,1,4,Oilers,0,1,2,0,3,20151118
Wild,0,2,0,2,Bruins,1,2,1,4,20151119,,
Sharks,0,0,0,1,1,Flyers,0,0,0,0,0,20151119
Avalanche,1,0,2,3,Penguins,0,3,1,4,20151119,,
Stars,1,0,2,3,Capitals,1,0,1,2,20151119,,
Coyotes,2,1,0,3,Canadiens,0,1,1,2,20151119,,
Blue Jackets,0,0,0,0,Senators,0,2,1,3,20151119,,
Rangers,0,0,1,1,Lightning,1,0,1,2,20151119,,
Ducks,0,1,2,3,Panthers,0,0,1,1,20151119,,
Sabres,0,2,0,0,2,Blues,1,1,0,1,3,20151119
Maple Leafs,0,0,1,1,2,Hurricanes,0,0,1,0,1,20151120
Predators,0,0,0,0,Blue Jackets,2,1,1,4,20151120,,
Kings,1,1,0,2,Red Wings,1,2,0,3,20151120,,
Canadiens,3,1,1,5,Islanders,1,1,1,3,20151120,,
Blackhawks,1,0,0,0,1,Flames,1,0,0,1,2,20151120
Devils,0,1,0,1,Oilers,1,1,3,5,20151120,,
Maple Leafs,0,0,0,0,Bruins,0,0,2,2,20151121,,
Flyers,0,0,0,0,Senators,1,2,1,4,20151121,,
Ducks,0,0,0,0,Lightning,0,3,2,5,20151121,,
Rangers,1,1,2,1,5,Panthers,0,2,2,0,4,20151121
Sharks,1,1,1,3,Penguins,0,1,0,1,20151121,,
Avalanche,0,2,1,3,Capitals,4,0,3,7,20151121,,
Coyotes,2,0,0,2,Jets,1,1,1,3,20151121,,
Red Wings,2,1,0,1,4,Blues,2,0,1,0,3,20151121
Sabres,0,0,0,0,Stars,1,0,2,3,20151121,,
Predators,0,0,0,0,Wild,1,2,1,4,20151121,,
Blackhawks,2,0,1,3,Canucks,2,1,3,6,20151121,,
Kings,0,2,1,3,Hurricanes,1,3,0,4,20151122,,
Sharks,1,0,4,5,Blue Jackets,0,2,1,3,20151122,,
Islanders,1,0,1,2,Canadiens,0,2,2,4,20151122,,
Devils,0,1,2,3,Canucks,0,0,2,2,20151122,,
Blues,0,0,2,2,Sabres,0,1,0,1,20151123,,
Predators,0,0,0,0,Rangers,0,1,2,3,20151123,,
Hurricanes,0,0,2,0,2,Flyers,0,2,0,1,3,20151123
Oilers,0,0,0,0,Capitals,0,0,1,1,20151123,,
Bruins,2,1,0,1,4,Maple Leafs,0,3,0,0,3,20151123
Kings,1,1,1,3,Panthers,0,1,0,1,20151123,,
Avalanche,0,1,3,4,Jets,1,0,0,1,20151123,,
Senators,2,2,3,7,Stars,0,1,3,4,20151124,,
Flames,2,1,0,3,Ducks,2,0,3,5,20151124,,
Predators,1,2,0,3,Sabres,0,1,1,2,20151125,,
Blue Jackets,1,1,0,2,Devils,0,1,0,1,20151125,,
Canadiens,1,1,3,5,Rangers,0,1,0,1,20151125,,
Blues,1,0,2,0,3,Penguins,1,1,1,1,4,20151125
Jets,2,1,0,3,Capitals,2,2,1,5,20151125,,
Oilers,1,0,0,1,Hurricanes,1,2,1,4,20151125,,
Canucks,1,1,1,3,Wild,1,0,1,2,20151125,,
Flyers,1,0,0,1,Islanders,1,1,1,3,20151125,,
Bruins,1,0,1,1,3,Red Wings,0,2,0,0,2,20151125
Kings,0,0,1,0,1,Lightning,0,0,1,1,2,20151125
Ducks,0,0,2,2,Coyotes,1,1,2,4,20151125,,
Senators,2,2,1,5,Avalanche,1,0,2,3,20151125,,
Blackhawks,2,1,2,5,Sharks,1,0,1,2,20151125,,
Rangers,0,2,1,3,Bruins,1,1,2,4,20151127,,
Predators,1,0,1,0,2,Flyers,1,0,1,1,3,20151127
Jets,0,1,2,3,Wild,0,0,1,1,20151127,,
Blackhawks,0,0,2,1,3,Ducks,1,1,0,0,2,20151127
Lightning,0,0,2,2,Capitals,1,2,1,4,20151127,,
Hurricanes,0,1,0,1,Sabres,1,2,1,4,20151127,,
Canadiens,0,1,1,1,3,Devils,0,2,0,0,2,20151127
Penguins,0,0,1,0,1,Blue Jackets,0,0,1,1,2,20151127
Oilers,0,2,1,0,3,Red Wings,0,3,0,1,4,20151127
Islanders,0,0,2,0,2,Panthers,1,1,0,1,3,20151127
Canucks,0,1,1,0,2,Stars,1,1,0,1,3,20151127
Flames,0,1,0,0,1,Coyotes,0,1,0,1,2,20151127
Flyers,0,1,2,3,Rangers,0,0,0,0,20151128,,
Capitals,1,3,0,4,Maple Leafs,1,1,0,2,20151128,,
Devils,0,0,2,1,3,Canadiens,0,1,1,0,2,20151128
Islanders,0,2,1,3,Lightning,1,1,0,2,20151128,,
Oilers,2,0,0,1,3,Penguins,0,2,0,0,2,20151128
Blue Jackets,1,0,0,1,Blues,0,1,2,3,20151128,,
Sabres,0,2,2,4,Predators,1,0,0,1,20151128,,
Stars,0,0,3,1,4,Wild,2,1,0,0,3,20151128
Jets,0,2,1,3,Avalanche,2,1,2,5,20151128,,
Senators,1,1,1,3,Coyotes,1,2,1,4,20151128,,
Flames,0,0,2,2,Sharks,2,2,1,5,20151128,,
Blackhawks,1,1,0,0,2,Kings,0,0,2,1,3,20151128
Panthers,0,0,1,1,2,Red Wings,0,1,0,0,1,20151129
Avalanche,1,1,1,3,Islanders,1,1,3,5,20151130,,
Hurricanes,0,2,1,3,Rangers,2,2,0,4,20151130,,
Oilers,0,0,0,0,Maple Leafs,1,0,2,3,20151130,,
Canucks,0,0,0,0,Ducks,2,0,2,4,20151130,,
Avalanche,0,2,0,2,Devils,0,0,1,1,20151201,,
Blue Jackets,1,0,0,1,Canadiens,1,0,1,2,20151201,,
Flyers,1,2,1,4,Senators,1,1,0,2,20151201,,
