Away,AP1,AP2,AP3,AOT1,Away_Final,Home,HP1,HP2,HP3,HOT1,Home_Final,Date,P1M,P2M,P3M,FinalMargin,FinalTotal,HomeMargin,Season,OT_Flag,Weekday,TravelDist,Playoffs
Hurricanes,1,3,0,0,4,Wild,1,1,1,0,3,20101007,0,2,1,1,7,-1,2010,0,3,995,0
Flyers,0,2,1,0,3,Penguins,0,0,2,0,2,20101007,0,2,1,1,5,-1,2010,0,3,257,0
Canadiens,1,0,1,0,2,Maple Leafs,2,0,1,0,3,20101007,1,1,1,1,5,1,2010,0,3,303,0
Flames,0,0,0,0,0,Oilers,1,0,3,0,4,20101007,1,1,4,4,4,4,2010,0,3,171,0
Blackhawks,1,1,1,0,3,Avalanche,1,2,0,1,4,20101007,0,1,0,1,7,1,2010,1,3,916,0
Stars,1,2,0,1,4,Devils,2,1,0,0,3,20101008,-1,0,0,1,7,-1,2010,1,4,1362,0
Wild,1,0,0,0,1,Hurricanes,0,1,0,1,2,20101008,-1,0,0,1,3,1,2010,1,4,995,0
Sharks,2,0,1,0,3,Blue Jackets,2,0,0,0,2,20101008,0,0,1,1,5,-1,2010,0,4,2090,0
Ducks,0,0,0,0,0,Red Wings,2,2,0,0,4,20101008,2,4,4,4,4,4,2010,0,4,1979,0
Sabres,1,0,1,0,2,Senators,0,1,0,0,1,20101008,1,0,1,1,3,-1,2010,0,4,219,0
Capitals,1,0,1,0,2,Jets,1,2,1,0,4,20101008,0,2,2,2,6,2,2010,0,4,541,0
Flyers,0,0,1,0,1,Blues,1,0,0,1,2,20101009,1,1,0,1,3,1,2010,1,5,808,0
Ducks,0,1,0,0,1,Predators,0,3,1,0,4,20101009,0,2,3,3,5,3,2010,0,5,1776,0
Canadiens,1,0,2,0,3,Penguins,0,1,1,0,2,20101009,1,0,1,1,5,-1,2010,0,5,474,0
Jets,0,2,1,0,3,Lightning,2,2,1,0,5,20101009,2,2,2,2,8,2,2010,0,5,416,0
Red Wings,1,1,1,0,3,Blackhawks,1,1,0,0,2,20101009,0,0,1,1,5,-1,2010,0,5,238,0
Devils,2,0,0,0,2,Capitals,1,4,2,0,7,20101009,-1,3,5,5,9,5,2010,0,5,198,0
Coyotes,1,3,1,0,5,Bruins,0,0,2,0,2,20101009,1,4,3,3,7,-3,2010,0,5,2295,0
Stars,2,1,1,1,5,Islanders,0,2,1,1,4,20101009,2,1,1,1,9,-1,2010,0,5,1370,0
Rangers,2,2,2,0,6,Sabres,0,1,2,0,3,20101009,2,3,3,3,9,-3,2010,0,5,292,0
Blue Jackets,1,0,1,1,3,Sharks,1,0,1,0,2,20101009,0,0,0,1,5,-1,2010,1,5,2090,0
Kings,0,0,1,1,2,Canucks,0,1,0,0,1,20101009,0,-1,0,1,3,-1,2010,1,5,1076,0
Senators,0,0,1,0,1,Maple Leafs,2,1,2,0,5,20101009,2,3,4,4,6,4,2010,0,5,203,0
Panthers,0,2,0,0,2,Oilers,0,3,0,0,3,20101010,0,1,1,1,5,1,2010,0,6,2569,0
Kings,0,0,1,0,1,Flames,0,1,2,0,3,20101010,0,1,2,2,4,2,2010,0,6,1197,0
Bruins,0,2,1,0,3,Coyotes,0,0,0,0,0,20101010,0,2,3,3,3,-3,2010,0,6,2295,0
Senators,0,1,1,0,2,Capitals,1,1,0,1,3,20101011,1,1,0,1,5,1,2010,1,0,446,0
Rangers,1,2,1,0,4,Islanders,2,1,3,0,6,20101011,1,0,2,2,10,2,2010,0,0,0,0
Ducks,0,1,0,0,1,Blues,2,2,1,0,5,20101011,2,3,4,4,6,4,2010,0,0,1586,0
Penguins,1,1,1,0,3,Devils,0,0,1,0,1,20101011,1,2,2,2,4,-2,2010,0,0,306,0
Blackhawks,1,2,1,0,4,Sabres,2,0,1,0,3,20101011,-1,1,1,1,7,-1,2010,0,0,453,0
Avalanche,0,1,1,0,2,Flyers,2,0,2,0,4,20101011,2,1,2,2,6,2,2010,0,0,1574,0
Panthers,0,1,0,0,1,Canucks,1,0,1,0,2,20101011,1,0,1,1,3,1,2010,0,0,2803,0
