Team,City,Start Year,End Year
Flames,"Calgary, AB",2010,2020
Islanders,"New York, NY",2010,2020
Ducks,"Los Angeles, CA",2010,2020
Canadiens,"Montreal, QC",2010,2020
Oilers,"Edmonton, AB",2010,2020
Jets,"Atlanta, GA",2010,2010
Jets,"Winnipeg, MB",2011,2020
Blackhawks,"Chicago, IL",2010,2020
Blue Jackets,"Columbus, OH",2010,2020
Panthers,"Miami, FL",2010,2020
Flyers,"Philadelphia, PA",2010,2020
Avalanche,"Denver, CO",2010,2020
Stars,"Dallas, TX",2010,2020
Kings,"Los Angeles, CA",2010,2020
Penguins,"Pittsburgh, PA",2010,2020
Devils,"Newark, NJ",2010,2020
Senators,"Ottawa, ON",2010,2020
Wild,"Minneapolis, MN",2010,2020
Coyotes,"Phoenix, AZ",2010,2020
Bruins,"Boston, MA",2010,2020
Blues,"Saint Louis, MO",2010,2020
Golden Knights,"Las Vegas, NV",2010,2020
Hurricanes,"Raleigh, NC",2010,2020
Sabres,"Buffalo, NY",2010,2020
Rangers,"New York, NY",2010,2020
Canucks,"Vancouver, BC",2010,2020
Maple Leafs,"Toronto, ON",2010,2020
Sharks,"San Jose, CA",2010,2020
Capitals,"Washington, DC",2010,2020
Red Wings,"Detroit, MI",2010,2020
Predators,"Nashville, TN",2010,2020
Lightning,"Tampa, FL",2010,2020
